Question_ID,Lesson_Number
1,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
2,"Module 1: Texts 1 & 2, Wrap Up; Module 2: Wrap Up; Module 3: Texts 1, 2, & 3, Wrap Up; Module 4: Wrap Up; Module 5: Text 1, Wrap Up"
3,Module 3: Texts 1 & 2
4,"Module 1: Texts 1 & 2, Wrap Up; Module 2: Wrap Up; Module 3: Texts 1, 2, & 3, Wrap Up; Module 4: Wrap Up; Module 5: Text 1, Wrap Up"
5,Module 3: Texts 1 & 2
6,Module 1: Text 1; Module 2: Text 1; Module 4: Text 1
7,"Module 1: Quick Read, Wrap Up; Module 2: Text 1, Wrap Up; Module 3: Quick Read, Wrap Up; Module 4: Text 1, Wrap Up; Module 5: Text 2, Wrap Up"
8,Module 1: Text 1; Module 2: Text 1; Module 4: Text 1
9,"Module 1: Quick Read, Wrap Up; Module 2: Text 1, Wrap Up; Module 3: Quick Read, Wrap Up; Module 4: Text 1, Wrap Up; Module 5: Text 2, Wrap Up"
10,Module 5: Text 2
11,Module 1: Text 1; Module 2: Text 1; Module 4: Text 1
12,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
13,Module 1: Text 1; Module 2: Text 1; Module 4: Text 1
14,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
15,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
16,Module 1: Text 1; Module 2: Text 1; Module 4: Text 1
17,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
18,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
19,Module 3: Texts 1 & 2; Module 5: Text 1
20,"Module 1: Texts 1 & 2; Module 2: Text 1, Texts 2 & 3; Module 3: Texts 1 & 2; Module 4: Text 1; Module 5: Motivate, Text 1, Text 2"
