Question_ID,Lesson_Number
1,"Week 1, Lessons 1, 2, 3, 4; Week 2, Lessons 1, 2, 3, 4; Week 3, Lesson 1"
2,"Week 1, Lessons 1, 2, 3, 4; Week 2, Lessons 1, 2, 3, 4; Week 3, Lesson 1"
3,"Week 1, Lessons 1, 2, 3, 4; Week 2, Lessons 1, 2, 3, 4; Week 3, Lesson 1"
4,"Week 1, Lessons 1, 2, 3, 4; Week 2, Lessons 1, 2, 3, 4; Week 3, Lesson 1"
5,"Week 2, Lessons 1, 2; Week 4, Lessons 3, 4; Week 5, Lessons 1, 2"
6,"Week 2, Lessons 1, 2; Week 4, Lessons 3, 4; Week 5, Lessons 1, 2"
7,"Week 2, Lessons 1, 2; Week 4, Lessons 3, 4; Week 5, Lessons 1, 2"
8,"Week 2, Lesson 1; Week 3, Lesson 4; Week 4, Lesson 2; Week 5, Lessons 2, 3, 4; Week 6, Lesson 1"
9,"Week 2, Lesson 1; Week 3, Lesson 4; Week 4, Lesson 2; Week 5, Lessons 2, 3, 4; Week 6, Lesson 1"
10,"Week 2, Lesson 1; Week 3, Lesson 4; Week 4, Lesson 2; Week 5, Lessons 2, 3, 4; Week 6, Lesson 1"
11,"Week 2, Lesson 1; Week 3, Lesson 4; Week 4, Lesson 2; Week 5, Lessons 2, 3, 4; Week 6, Lesson 1"
12,"Week 2, Lesson 1; Week 3, Lesson 4; Week 4, Lesson 2; Week 5, Lessons 2, 3, 4; Week 6, Lesson 1"
13,"Week 2, Lesson 3; Week 3, Lesson 1; Week 5, Lessons 1, 3"
14,"Week 1, Lessons 3, 4; Week 2, Lesson 4; Week 3, Lesson 2; Week 4, Lesson 4; Week 6, Lessons 2, 3, 4"
15,"Week 1, Lessons 3, 4; Week 2, Lesson 4; Week 3, Lesson 2; Week 4, Lesson 4; Week 6, Lessons 2, 3, 4"
16,"Week 1, Lessons 3, 4; Week 2, Lesson 4; Week 3, Lesson 2; Week 4, Lesson 4; Week 6, Lessons 2, 3, 4"
17,"Week 1, Lesson 2; Week 3, Lesson 3; Week 4, Lesson 1; Week 6, Lesson 1"
18,"Week 1, Lessons 3, 4; Week 2, Lesson 4; Week 3, Lesson 2; Week 4, Lesson 4; Week 6, Lessons 2, 3, 4"
19,"Week 1, Lessons 3, 4; Week 2, Lesson 4; Week 3, Lesson 2; Week 4, Lesson 4; Week 6, Lessons 2, 3, 4"
20,"Week 1, Lesson 2; Week 3, Lesson 3; Week 4, Lesson 1; Week 6, Lesson 1"
21,"Week 1, Lesson 2; Week 3, Lesson 3; Week 4, Lesson 1; Week 6, Lesson 1"
22,"Week 2, Lesson 3; Week 3, Lesson 1; Week 5, Lessons 1, 3"
