Question_ID,Lesson_Number
1,"Week 1, Lesson 4; Week 2, Lessons 1, 2, 3; Week 4, Lesson 1"
2,"Week 1, Lesson 4; Week 2, Lessons 1, 2, 3; Week 4, Lesson 1"
3,"Week 1, Lesson 4; Week 2, Lessons 1, 2, 3; Week 4, Lesson 1"
4,"Week 1, Lesson 4; Week 2, Lessons 1, 2, 3; Week 4, Lesson 1"
5,"Week 1, Lesson 1"
6,"Week 1, Lessons 2, 3, 4; Week 3, Lessons 1, 2, 4; Week 4, Lesson 2; Week 5, Lessons 1, 2, 3; Week 6, Lessons 3, 4"
7,"Week 1, Lessons 2, 3, 4; Week 3, Lessons 1, 2, 4; Week 4, Lesson 2; Week 5, Lessons 1, 2, 3; Week 6, Lessons 3, 4"
8,"Week 1, Lessons 2, 3, 4; Week 3, Lessons 1, 2, 4; Week 4, Lesson 2; Week 5, Lessons 1, 2, 3; Week 6, Lessons 3, 4"
9,"Week 1, Lessons 2, 3, 4; Week 3, Lessons 1, 2, 4; Week 4, Lesson 2; Week 5, Lessons 1, 2, 3; Week 6, Lessons 3, 4"
10,"Week 3, Lessons 3, 4; Week 5, Lesson 3; Week 6, Lesson 1"
11,"Week 4, Lesson 4; Week 6, Lesson 2"
12,"Week 1, Lessons 2, 3, 4; Week 3, Lessons 1, 2, 4; Week 4, Lesson 2; Week 5, Lessons 1, 2, 3; Week 6, Lessons 3, 4"
13,"Week 1, Lessons 2, 3, 4; Week 3, Lessons 1, 2, 4; Week 4, Lesson 2; Week 5, Lessons 1, 2, 3; Week 6, Lessons 3, 4"
14,"Week 3, Lessons 3, 4; Week 5, Lesson 3; Week 6, Lesson 1"
15,"Week 3, Lessons 3, 4; Week 5, Lesson 3; Week 6, Lesson 1"
16,"Week 2, Lesson 2"
17,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lesson 2"
18,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lesson 2"
19,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lesson 2"
20,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lesson 2"
21,"Week 3, Lesson 3"
22,"Week 4, Lesson 1; Week 6, Lesson 4"
