Question_ID,Lesson_Number
1,"Week 1, Lessons 1, 2, 3, 4"
2,"Week 1, Lesson 3; Week 2, Lesson 1; Week 3, Lessons 2, 3; Week 5, Lesson 2; Week 6, Lesson 2"
3,"Week 1, Lesson 3; Week 2, Lesson 1; Week 3, Lessons 2, 3; Week 5, Lesson 2; Week 6, Lesson 2"
4,"Week 1, Lesson 3; Week 2, Lesson 1; Week 3, Lessons 2, 3; Week 5, Lesson 2; Week 6, Lesson 2"
5,"Week 1, Lesson 3; Week 2, Lesson 1; Week 3, Lessons 2, 3; Week 5, Lesson 2; Week 6, Lesson 2"
6,"Week 1, Lesson 3; Week 2, Lesson 1; Week 3, Lessons 2, 3; Week 5, Lesson 2; Week 6, Lesson 2"
7,"Week 1, Lessons 2, 4; Week 2, Lesson 2; Week 3, Lesson 4; Week 4, Lessons 1, 2, 3; Week 6, Lessons 2, 3"
8,"Week 1, Lessons 2, 4; Week 2, Lesson 2; Week 3, Lesson 4; Week 4, Lessons 1, 2, 3; Week 6, Lessons 2, 3"
9,"Week 1, Lessons 2, 4; Week 2, Lesson 2; Week 3, Lesson 4; Week 4, Lessons 1, 2, 3; Week 6, Lessons 2, 3"
10,"Week 1, Lessons 2, 4; Week 2, Lesson 2; Week 3, Lesson 4; Week 4, Lessons 1, 2, 3; Week 6, Lessons 2, 3"
11,"Week 4, Lesson 4"
12,"Week 2, Lesson 3; Week 3, Lesson 3"
13,"Week 1, Lessons 2, 4; Week 2, Lesson 2; Week 3, Lesson 4; Week 4, Lessons 1, 2, 3; Week 6, Lessons 2, 3"
14,"Week 4, Lesson 4"
15,"Week 5, Lesson 1"
16,"Week 2, Lesson 3; Week 3, Lesson 3"
17,"Week 5, Lesson 2"
18,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lessons 1, 2, 4; Week 5, Lesson 4; Week 6, Lessons 3, 4"
19,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lessons 1, 2, 4; Week 5, Lesson 4; Week 6, Lessons 3, 4"
20,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lessons 1, 2, 4; Week 5, Lesson 4; Week 6, Lessons 3, 4"
21,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lessons 1, 2, 4; Week 5, Lesson 4; Week 6, Lessons 3, 4"
22,"Week 2, Lesson 4; Week 3, Lessons 1, 2; Week 4, Lessons 1, 2, 4; Week 5, Lesson 4; Week 6, Lessons 3, 4"
23 (Writing Prompt),"Week 5, Lesson 3; Week 6, Lesson 4"
