Question_ID,Lesson_Number
1,"Week 1, Lesson 3; Week 2, Lessons 1, 3, 4; Week 3, Lessons 1, 2; Week 4, Lesson 1; Week 5, Lesson 1; Week 6, Lessons 1, 3"
2,"Week 1, Lesson 3; Week 2, Lessons 1, 3, 4; Week 3, Lessons 1, 2; Week 4, Lesson 1; Week 5, Lesson 1; Week 6, Lessons 1, 3"
3,"Week 1, Lesson 3; Week 2, Lessons 1, 3, 4; Week 3, Lessons 1, 2; Week 4, Lesson 1; Week 5, Lesson 1; Week 6, Lessons 1, 3"
4,"Week 1, Lesson 3; Week 2, Lessons 1, 3, 4; Week 3, Lessons 1, 2; Week 4, Lesson 1; Week 5, Lesson 1; Week 6, Lessons 1, 3"
5,"Week 1, Lesson 3; Week 2, Lessons 1, 3, 4; Week 3, Lessons 1, 2; Week 4, Lesson 1; Week 5, Lesson 1; Week 6, Lessons 1, 3"
6,"Week 1, Lesson 3; Week 2, Lessons 1, 3, 4; Week 3, Lessons 1, 2; Week 4, Lesson 1; Week 5, Lesson 1; Week 6, Lessons 1, 3"
7,"Week 1, Lessons 2, 3; Week 2, Lesson 2; Week 3, Lesson 2; Week 4, Lesson 2; Week 6, Lessons 1, 2, 3"
8,"Week 1, Lessons 2, 3; Week 2, Lesson 2; Week 3, Lesson 2; Week 4, Lesson 2; Week 6, Lessons 1, 2, 3"
9,"Week 1, Lesson 1; Week 3, Lesson 3; Week 4, Lessons 1, 4"
10,"Week 2, Lesson 3; Week 3, Lesson 3; Week 4, Lesson 3; Week 6, Lessons 2, 3"
11,"Week 1, Lessons 2, 3; Week 2, Lesson 2; Week 3, Lesson 2; Week 4, Lesson 2; Week 6, Lessons 1, 2, 3"
12,"Week 1, Lessons 2, 3; Week 2, Lesson 2; Week 3, Lesson 2; Week 4, Lesson 2; Week 6, Lessons 1, 2, 3"
13,"Week 1, Lesson 1; Week 3, Lesson 3; Week 4, Lessons 1, 4"
14,"Week 2, Lesson 3; Week 3, Lesson 3; Week 4, Lesson 3; Week 6, Lessons 2, 3"
15,"Week 4, Lesson 2"
16,"Week 1, Lessons 1, 2; Week 2, Lesson 4; Week 3, Lesson 4; Week 5, Lesson 4"
17,"Week 1, Lessons 1, 2; Week 2, Lesson 4; Week 3, Lesson 4; Week 5, Lesson 4"
18,"Week 1, Lessons 1, 2; Week 2, Lesson 4; Week 3, Lesson 4; Week 5, Lesson 4"
19,"Week 1, Lessons 1, 2; Week 2, Lesson 4; Week 3, Lesson 4; Week 5, Lesson 4"
20,"Week 1, Lessons 1, 2; Week 2, Lesson 4; Week 3, Lesson 4; Week 5, Lesson 4"
21,"Week 2, Lesson 3; Week 3, Lesson 3; Week 4, Lesson 3; Week 6, Lessons 2, 3"
Writing Prompt,"Week 4, Lessons 3, 4; Week 5, Lessons 1, 2, 3"
