Question_ID,Lesson_Number
1,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
2,"Module 1: Wrap Up; Module 2: Texts 1 & 2, Quick Read, Wrap Up; Module 3: Texts 1–3, Text 4, Research Project, Wrap Up; Module 4: Texts 1 & 2, Quick Read, Wrap Up; Module 5: Text 1, Wrap Up"
3,Module 2: Text 1; Module 5: Text 1
4,"Module 1: Wrap Up; Module 2: Texts 1 & 2, Quick Read, Wrap Up; Module 3: Texts 1–3, Text 4, Research Project, Wrap Up; Module 4: Texts 1 & 2, Quick Read, Wrap Up; Module 5: Text 1, Wrap Up"
5,"Module 1: Text 1, Wrap Up; Module 5: Text 2, Wrap Up"
6,Module 1: Text 1; Module 5: Text 2
7,Module 3: Texts 1–3
8,Module 4: Text 1
9,"Module 1: Wrap Up; Module 2: Texts 1 & 2, Quick Read, Wrap Up; Module 3: Texts 1–3, Text 4, Research Project, Wrap Up; Module 4: Texts 1 & 2, Quick Read, Wrap Up; Module 5: Text 1, Wrap Up"
10,Module 3: Texts 1–3
11,Module 5: Text 1
12,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
13,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
14,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
15,Module 5: Text 1
16,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
17,Module 5: Text 1
18,Module 5: Text 1
19,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
20,"Module 1: Text 1; Module 2: Texts 1 & 2; Module 3: Texts 1–3, Text 4; Module 4: Text 2; Module 5: Text 1"
